@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute cutoff_freq-1 numeric

@data
71,'2018/10/10 15:17:48:651',1,41,443,0
72,'2018/10/10 15:17:48:668',1,41,443,0
73,'2018/10/10 15:17:48:685',1,41,443,0
74,'2018/10/10 15:17:48:702',1,41,443,0
75,'2018/10/10 15:17:48:719',1,41,443,0
76,'2018/10/10 15:17:48:736',1,41,443,0
77,'2018/10/10 15:17:48:753',1,41,443,0
78,'2018/10/10 15:17:48:770',1,41,443,0
79,'2018/10/10 15:17:54:526',2,600,121,1
80,'2018/10/10 15:17:54:542',2,600,121,1
81,'2018/10/10 15:17:54:559',2,600,121,1
82,'2018/10/10 15:17:54:576',2,600,121,1
83,'2018/10/10 15:17:54:592',2,600,121,1
84,'2018/10/10 15:17:54:611',2,600,121,1
85,'2018/10/10 15:17:54:626',2,600,121,1
86,'2018/10/10 15:17:54:642',2,600,121,1
87,'2018/10/10 15:17:54:659',2,600,121,1
88,'2018/10/10 15:17:54:676',2,600,121,1
89,'2018/10/10 15:17:54:692',2,600,121,1
90,'2018/10/10 15:17:54:708',2,600,121,1
91,'2018/10/10 15:17:54:725',2,600,121,1
92,'2018/10/10 15:17:54:741',2,600,121,1
93,'2018/10/10 15:17:54:758',2,600,121,1
94,'2018/10/10 15:17:54:775',2,600,121,1
95,'2018/10/10 15:17:54:791',2,600,121,1
96,'2018/10/10 15:17:54:808',2,600,121,1
97,'2018/10/10 15:17:54:824',2,600,121,1
98,'2018/10/10 15:17:54:841',2,600,121,1
99,'2018/10/10 15:17:54:858',2,600,121,1
100,'2018/10/10 15:17:54:875',2,600,121,1
101,'2018/10/10 15:17:54:892',2,600,121,1
102,'2018/10/10 15:17:54:908',2,600,121,1
103,'2018/10/10 15:17:54:925',2,600,121,1
104,'2018/10/10 15:17:54:942',2,600,121,1
105,'2018/10/10 15:17:54:958',2,600,121,1
106,'2018/10/10 15:17:54:975',2,600,121,1
107,'2018/10/10 15:17:54:992',2,600,121,1
108,'2018/10/10 15:17:55:009',2,600,121,1
109,'2018/10/10 15:17:55:025',2,600,121,1
110,'2018/10/10 15:17:55:042',2,600,121,1
111,'2018/10/10 15:17:55:058',2,600,121,1
112,'2018/10/10 15:17:55:075',2,600,121,1
113,'2018/10/10 15:17:55:091',2,600,121,1
114,'2018/10/10 15:17:55:108',2,600,121,1
115,'2018/10/10 15:17:55:125',2,600,121,1
116,'2018/10/10 15:17:55:141',2,600,121,1
117,'2018/10/10 15:17:55:158',2,600,121,1
118,'2018/10/10 15:17:55:175',2,600,121,1
119,'2018/10/10 15:17:55:191',2,600,121,1
120,'2018/10/10 15:17:55:208',2,600,121,1
121,'2018/10/10 15:17:55:224',2,600,121,1
122,'2018/10/10 15:17:55:241',2,600,121,1
123,'2018/10/10 15:17:55:258',2,600,121,1
124,'2018/10/10 15:17:55:275',2,600,121,1
125,'2018/10/10 15:17:55:292',2,600,121,1
126,'2018/10/10 15:17:55:308',2,600,121,1
127,'2018/10/10 15:17:55:324',2,600,121,1
128,'2018/10/10 15:17:55:341',2,600,121,1
129,'2018/10/10 15:17:55:358',2,600,121,1
130,'2018/10/10 15:17:55:375',2,600,121,1
131,'2018/10/10 15:17:55:392',2,600,121,1
132,'2018/10/10 15:17:55:407',2,600,121,1
133,'2018/10/10 15:17:55:424',2,600,121,1
134,'2018/10/10 15:17:55:441',2,600,121,1
135,'2018/10/10 15:17:55:458',2,600,121,1
136,'2018/10/10 15:17:55:474',2,600,121,1
137,'2018/10/10 15:17:55:491',2,600,121,1
138,'2018/10/10 15:17:55:508',2,600,121,1
139,'2018/10/10 15:17:55:525',2,600,121,1
140,'2018/10/10 15:17:55:541',2,600,121,1
141,'2018/10/10 15:17:55:558',2,600,121,1
142,'2018/10/10 15:17:55:575',2,600,121,1
143,'2018/10/10 15:17:55:592',2,600,121,1
144,'2018/10/10 15:17:55:608',2,600,121,1
145,'2018/10/10 15:17:55:625',2,600,121,1
146,'2018/10/10 15:17:55:642',2,600,121,1
147,'2018/10/10 15:17:55:658',2,600,121,1
148,'2018/10/10 15:17:55:675',2,600,121,1
149,'2018/10/10 15:17:55:692',2,600,121,1
150,'2018/10/10 15:17:55:708',2,600,121,1
151,'2018/10/10 15:17:55:724',2,600,121,1
152,'2018/10/10 15:17:55:741',2,600,121,1
153,'2018/10/10 15:17:55:758',2,600,121,1
154,'2018/10/10 15:17:55:775',2,600,121,1
155,'2018/10/10 15:17:55:791',2,600,121,1
156,'2018/10/10 15:17:55:807',2,600,121,1
157,'2018/10/10 15:17:55:824',2,600,121,1
158,'2018/10/10 15:17:55:841',2,600,121,1
159,'2018/10/10 15:17:55:857',2,600,121,1
160,'2018/10/10 15:17:55:874',2,600,121,1
161,'2018/10/10 15:17:55:891',2,600,121,1
162,'2018/10/10 15:17:55:908',2,600,121,1
163,'2018/10/10 15:17:55:925',2,600,121,1
164,'2018/10/10 15:17:55:941',2,600,121,1
165,'2018/10/10 15:17:55:958',2,600,121,1
166,'2018/10/10 15:17:55:975',2,600,121,1
167,'2018/10/10 15:17:55:991',2,600,121,1
168,'2018/10/10 15:17:56:008',2,600,121,1
169,'2018/10/10 15:17:56:025',2,600,121,1
170,'2018/10/10 15:17:56:040',2,600,121,1
171,'2018/10/10 15:17:56:057',2,600,121,1
172,'2018/10/10 15:17:56:074',2,600,121,1
173,'2018/10/10 15:17:56:091',2,600,121,1
174,'2018/10/10 15:17:56:108',2,600,121,1
175,'2018/10/10 15:17:56:125',2,600,121,1
176,'2018/10/10 15:17:56:141',2,600,121,1
177,'2018/10/10 15:17:56:158',2,600,121,1
178,'2018/10/10 15:17:56:176',2,600,121,1
179,'2018/10/10 15:17:56:191',2,600,121,1
180,'2018/10/10 15:17:56:208',2,600,121,1
181,'2018/10/10 15:17:56:224',2,600,121,1
182,'2018/10/10 15:17:56:241',2,600,121,1
183,'2018/10/10 15:17:56:258',2,600,121,1
